"AN_EXERCICIO","NR_PERIODO","IN_PERIODICIDADE","CO_ESFERA","CO_PODER","ID_ENTE","NO_ENTE","SG_ENTE","tipo_receita","rubrica_receita","VALUE","QT_HABITANTE","ELEMENTLABEL","dh_consulta"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","2.4.1.8.04.1.0 - Transferências de Recursos do Sistema Único de Saúde ¿ SUS destinados à Atenção Básica","438700","869265","2.4.1.8.04.1.0 - Transferências de Recursos do Sistema Único de Saúde ¿ SUS destinados à Atenção Básica","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza","371969086.01","869265","1.1.1.3.00.0.0 - Impostos sobre a Renda e Proventos de Qualquer Natureza","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Deduções - FUNDEB","1.1.1.8.01.0.0 Impostos sobre o Patrimônio para Estados/DF/Municípios","8195452","869265","1.1.1.8.01.0.0 Impostos sobre o Patrimônio para Estados/DF/Municípios","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","7.7.0.0.00.0.0 - Transferências Correntes","4780531.09","869265","7.7.0.0.00.0.0 - Transferências Correntes","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","7.9.9.0.99.0.0 - Outras Receitas","10888625.19","869265","7.9.9.0.99.0.0 - Outras Receitas","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Deduções - FUNDEB","TOTAL DAS RECEITAS (III) = (I + II)","899746257.51","869265","TOTAL DAS RECEITAS (III) = (I + II)","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.1.2.0.00.0.0 - Taxas","18710857.8","869265","1.1.2.0.00.0.0 - Taxas","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.1.2.2.00.0.0 - Taxas pela Prestação de Serviços","14476589.23","869265","1.1.2.2.00.0.0 - Taxas pela Prestação de Serviços","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.2.1.8.00.0.0 Contribuições Sociais Específicas de Estados, DF e Municípios","253261846.97","869265","1.2.1.8.00.0.0 Contribuições Sociais Específicas de Estados, DF e Municípios","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.3.0.0.00.0.0 - Receita Patrimonial","22506211.84","869265","1.3.0.0.00.0.0 - Receita Patrimonial","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.3.8.10.9.0 Outras Transferências de Convênios dos Municípios","898463.36","869265","1.7.3.8.10.9.0 Outras Transferências de Convênios dos Municípios","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.7.2.0.00.1.0 - Transferências dos Estados e do Distrito Federal e de suas Entidades","15512.32","869265","1.7.2.0.00.1.0 - Transferências dos Estados e do Distrito Federal e de suas Entidades","##------ Sun Mar  1 14:14:45 2026 ------##"
"2019","1","A","E","E","12","Acre","AC","Receitas Brutas Realizadas","1.9.1.0.01.0.0 - Multas Previstas em Legislação Específica","20504049.06","869265","1.9.1.0.01.0.0 - Multas Previstas em Legislação Específica","##------ Sun Mar  1 14:14:45 2026 ------##"
